,#Rank,University,Town
421,422,Hidayatullah National Law University,Raipur
422,423,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Kanchipuram
423,424,Central University of Kerala,Kasaragod
424,425,Ramakrishna Mission Vivekananda Educational and Research Institute,Belur ...
425,426,Pt. Bhagwat Dayal Sharma University of Health Sciences,Rohtak
426,427,Sri Venkateswara Veterinary University,Tirupati
427,428,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,New Delhi
428,429,Indira Gandhi National Tribal University,Amarkantak
429,430,Tamil University,Thanjavur
430,431,Mody University of Science and Technology,Lakshmangarh
431,432,National Institute of Technology Mizoram,Aizawl
432,433,Kazi Nazrul University,Asansol
433,434,Tamil Nadu Teacher Education University,Chennai
434,435,Central University of Karnataka,Gulbarga
435,436,Marwadi University,Rajkot
436,437,Krishna University,Machilipatnam
437,438,Jai Narain Vyas University,Jodhpur
438,439,B.S. Abdur Rahman Crescent Institute of Science and Technology,Chennai
439,440,Palamuru University,Mahabubnagar
440,441,Central University of Gujarat,Gandhinagar
441,442,Dr. M.G.R. Educational and Research Institute,Chennai
442,443,Chanakya National Law University,Patna
443,444,North Eastern Regional Institute of Science and Technology,Itanagar
444,445,Shree Guru Gobind Singh Tricentenary University,Gurgaon
445,446,Sambalpur University,Burla
446,447,Adikavi Nannaya University,Rajahmundry
447,448,Madhav University,Pindwara
448,449,Rajasthan University of Veterinary and Animal Sciences,Bikaner
449,450,Kerala Kalamandalam,Cheruthuruthi
450,451,Rajiv Gandhi National University of Law,Patiala
451,452,KLE University,Belgaum ...
452,453,Central Institute of Higher Tibetan Studies,Varanasi
453,454,Central University of Himachal Pradesh,Kangra
454,455,Shri Vaishnav Vidyapeeth Vishwavidyalaya,Indore
455,456,Kolhan University,Chaibasa
456,457,Swami Vivekananda Yoga Anusandhana Samsthana,Bangalore
457,458,"Mahatma Gandhi Central University, Motihari",Motihari
458,459,Shri Ramswaroop Memorial University,Barabanki
459,460,Noida International University,Greater Noida
460,461,Berhampur University,Berhampur
461,462,Anant National University,Ahmedabad
462,463,Rashtriya Raksha University,Gandhinagar
463,464,Ravenshaw University,Cuttack
464,465,The IIS University,Jaipur
465,466,Jawaharlal Nehru Krishi Vishwavidyalaya,Jabalpur
466,467,IFTM University,Moradabad
467,468,Assam Science and Technology University,Guwahati
468,469,"Indian Institute of Information Technology, Vadodara",Gandhinagar
469,470,Assam Rajiv Gandhi University of Cooperative Management,Sivasagar
470,471,RK University,Rajkot
471,472,Sage University,Indore ...
472,473,SRM University Haryana,Sonipat
473,474,"School of Planning and Architecture, Bhopal",Bhopal
474,475,Chaudhary Devi Lal University,Sirsa
475,476,Ganpat University,Mehsana
476,477,IIHMR University,Jaipur
477,478,Indira Gandhi Institute of Medical Sciences,Patna
478,479,Gujarat University of Transplantation Sciences,Ahmedabad
479,480,J.C. Bose University of Science and Technology,Faridabad
480,481,"School of Planning and Architecture, Vijayawada",Vijayawada
481,482,Babu Banarasi Das University,Lucknow
482,483,Singhania University,Jhunjhunu
483,484,Shri Vishwakarma Skill University,Gurugram
